代碼,日期,淨值,幣別,名稱,投信代碼,投信,分類
T3640E,2026-07-16,12.33,TWD,安聯AI收益成長多重資產基金-HB類型(月配息)-新臺幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640F,2026-07-16,12.32,TWD,安聯AI收益成長多重資產基金-HN類型(月配息)-新臺幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640G,2026-07-16,14.07,CNY,安聯AI收益成長多重資產基金-HA類型(累積)-人民幣(避險)(本基金有相當比重,A0036,安聯投信,被動ETF/共同基金
T3640H,2026-07-16,12.31,CNY,安聯AI收益成長多重資產基金-HB類型(月配息)-人民幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640J,2026-07-16,12.31,CNY,安聯AI收益成長多重資產基金-HN類型(月配息)-人民幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640K,2026-07-16,14.82,USD,安聯AI收益成長多重資產基金-A類型(累積)-美元(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
T3640L,2026-07-16,12.99,USD,安聯AI收益成長多重資產基金-B類型(月配息)-美元(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3640M,2026-07-16,12.99,USD,安聯AI收益成長多重資產基金-N類型(月配息)-美元(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3640N,2026-07-16,13.69,TWD,安聯AI收益成長多重資產基金-C類型(累積)-新臺幣(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3640P,2026-07-16,14.71,USD,安聯AI收益成長多重資產基金-C類型(累積)-美元(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
00984A,2026-07-16,15.57,TWD,安聯台灣高息成長主動式ETF基金(本基金之配息來源可能為收益平準金且基金並無保證,A0036,安聯投信,主動ETF-股
00993A,2026-07-16,13,TWD,安聯台灣主動式ETF基金(本基金之配息來源可能為收益平準金且基金並無保證收益及配,A0036,安聯投信,主動ETF-股
00402A,2026-07-16,9.57,TWD,安聯美國科技領航主動式ETF基金(本基金之配息來源可能為收益平準金),A0036,安聯投信,主動ETF-股
T3620Y,2026-07-16,17.0189,TWD,安聯四季回報債券組合基金-A類型(累積)-新臺幣(本基金有相當比重之投資包含高風,A0036,安聯投信,被動ETF/共同基金
T3620B,2026-07-16,12.4982,USD,安聯四季回報債券組合基金-A類型(累積)-美元(本基金有相當比重之投資包含高風險,A0036,安聯投信,被動ETF/共同基金
T3620C,2026-07-16,8.5896,TWD,安聯四季回報債券組合基金-B類型(月配息)-新臺幣(本基金有相當比重之投資包含高,A0036,安聯投信,被動ETF/共同基金
T3620D,2026-07-16,11.009,TWD,安聯四季回報債券組合基金-P類型(累積)-新臺幣(本基金有相當比重之投資包含高風,A0036,安聯投信,主動ETF-債
T3620E,2026-07-16,10.5769,TWD,安聯四季回報債券組合基金-R類型(累積)-新臺幣(本基金有相當比重之投資包含高風,A0036,安聯投信,被動ETF/共同基金
T3605Y,2026-07-16,56.28,TWD,安聯全球生技趨勢基金-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3605B,2026-07-16,14.3,USD,安聯全球生技趨勢基金-美元,A0036,安聯投信,被動ETF/共同基金
T3601Y,2026-07-16,306.2,TWD,安聯台灣大壩基金-A類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3601B,2026-07-16,96.55,TWD,安聯台灣大壩基金-G類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3602Y,2026-07-16,13.3711,TWD,安聯台灣貨幣市場基金,A0036,安聯投信,被動ETF/共同基金
T3604Y,2026-07-16,751.18,TWD,安聯台灣科技基金,A0036,安聯投信,被動ETF/共同基金
T3621Y,2026-07-16,30.38,TWD,安聯中國策略基金-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3621B,2026-07-16,22.44,USD,安聯中國策略基金-美元,A0036,安聯投信,被動ETF/共同基金
T3621C,2026-07-16,9.15,CNY,安聯中國策略基金-人民幣,A0036,安聯投信,被動ETF/共同基金
T3622Y,2026-07-16,14.52,TWD,安聯全球油礦金趨勢基金,A0036,安聯投信,被動ETF/共同基金
T3623Y,2026-07-16,21.12,TWD,安聯中國東協基金,A0036,安聯投信,被動ETF/共同基金
T3626A,2026-07-16,14.234,TWD,安聯四季豐收債券組合基金-A類型(累積)-新臺幣(本基金有一定比例之投資包含高風,A0036,安聯投信,主動ETF-股
T3626B,2026-07-16,6.9864,TWD,安聯四季豐收債券組合基金-B類型(月配息)-新臺幣(本基金有一定比例之投資包含高,A0036,安聯投信,被動ETF/共同基金
T3626C,2026-07-16,15.2673,CNY,安聯四季豐收債券組合基金-A類型(累積)-人民幣(本基金有一定比例之投資包含高風,A0036,安聯投信,被動ETF/共同基金
T3626D,2026-07-16,7.4412,CNY,安聯四季豐收債券組合基金-B類型(月配息)-人民幣(本基金有一定比例之投資包含高,A0036,安聯投信,主動ETF-債
T3626E,2026-07-16,8.0839,USD,安聯四季豐收債券組合基金-B類型(月配息)-美元(本基金有一定比例之投資包含高風,A0036,安聯投信,被動ETF/共同基金
T3626F,2026-07-16,13.0743,USD,安聯四季豐收債券組合基金-A類型(累積)-美元(本基金有一定比例之投資包含高風險,A0036,安聯投信,被動ETF/共同基金
T3626G,2026-07-16,7.9143,TWD,安聯四季豐收債券組合基金-N類型(月配息)-新臺幣(本基金有一定比例之投資包含高,A0036,安聯投信,被動ETF/共同基金
T3626H,2026-07-16,7.9171,CNY,安聯四季豐收債券組合基金-N類型(月配息)-人民幣(本基金有一定比例之投資包含高,A0036,安聯投信,被動ETF/共同基金
T3626J,2026-07-16,8.4318,USD,安聯四季豐收債券組合基金-N類型(月配息)-美元(本基金有一定比例之投資包含高風,A0036,安聯投信,被動ETF/共同基金
T3627A,2026-07-16,21.17,TWD,安聯四季雙收入息組合基金-A類型(累積)-新臺幣(本基金並無保證收益及配息),A0036,安聯投信,主動ETF-股
T3627B,2026-07-16,14.87,TWD,安聯四季雙收入息組合基金-B類型(月配息)-新臺幣(本基金之配息來源可能為本金且,A0036,安聯投信,被動ETF/共同基金
T3627C,2026-07-16,20.38,USD,安聯四季雙收入息組合基金-A類型(累積)-美元(本基金並無保證收益及配息),A0036,安聯投信,被動ETF/共同基金
T3627D,2026-07-16,15.21,USD,安聯四季雙收入息組合基金-B類型(月配息)-美元(本基金之配息來源可能為本金且無,A0036,安聯投信,主動ETF-債
T3627E,2026-07-16,16.17,CNY,安聯四季雙收入息組合基金-B類型(月配息)-人民幣(本基金之配息來源可能為本金且,A0036,安聯投信,被動ETF/共同基金
T3627F,2026-07-16,19.26,TWD,安聯四季雙收入息組合基金-P類型(累積)-新臺幣(本基金並無保證收益及配息),A0036,安聯投信,被動ETF/共同基金
T3627G,2026-07-16,15.87,TWD,安聯四季雙收入息組合基金-R類型(累積)-新臺幣(本基金並無保證收益及配息),A0036,安聯投信,被動ETF/共同基金
T3627H,2026-07-16,12.68,TWD,安聯四季雙收入息組合基金-B1類型(月配息)-新臺幣(本基金之配息來源可能為本金,A0036,安聯投信,被動ETF/共同基金
T3627J,2026-07-16,11.15,USD,安聯四季雙收入息組合基金-B1類型(月配息)-美元(本基金之配息來源可能為本金且,A0036,安聯投信,被動ETF/共同基金
T3628A,2026-07-16,26.6,TWD,安聯四季成長組合基金-A類型-新臺幣,A0036,安聯投信,主動ETF-股
T3628B,2026-07-16,24.79,USD,安聯四季成長組合基金-美元,A0036,安聯投信,被動ETF/共同基金
T3628C,2026-07-16,23.61,TWD,安聯四季成長組合基金-P類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3628D,2026-07-16,17.84,TWD,安聯四季成長組合基金-R類型-新臺幣,A0036,安聯投信,主動ETF-債
T3628E,2026-07-16,14.45,TWD,安聯四季成長組合基金-TISA類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3629A,2026-07-16,12.0425,TWD,安聯目標收益基金-A類型(累積)-新臺幣(本基金主要係投資於高風險非投資等級債券,A0036,安聯投信,主動ETF-股
T3629B,2026-07-16,5.799,TWD,安聯目標收益基金-B類型(月配息)-新臺幣(本基金主要係投資於高風險非投資等級債,A0036,安聯投信,被動ETF/共同基金
T3629C,2026-07-16,13.8946,USD,安聯目標收益基金-A類型(累積)-美元(本基金主要係投資於高風險非投資等級債券基,A0036,安聯投信,被動ETF/共同基金
T3629D,2026-07-16,6.7562,USD,安聯目標收益基金-B類型(月配息)-美元(本基金主要係投資於高風險非投資等級債券,A0036,安聯投信,主動ETF-債
T3629E,2026-07-16,14.378,CNY,安聯目標收益基金-A類型(累積)-人民幣(本基金主要係投資於高風險非投資等級債券,A0036,安聯投信,被動ETF/共同基金
T3629F,2026-07-16,6.0066,CNY,安聯目標收益基金-B類型(月配息)-人民幣(本基金主要係投資於高風險非投資等級債,A0036,安聯投信,被動ETF/共同基金
T3629G,2026-07-16,7.0153,TWD,安聯目標收益基金-N類型(月配息)-新臺幣(本基金主要係投資於高風險非投資等級債,A0036,安聯投信,被動ETF/共同基金
T3629H,2026-07-16,7.1425,CNY,安聯目標收益基金-N類型(月配息)-人民幣(本基金主要係投資於高風險非投資等級債,A0036,安聯投信,被動ETF/共同基金
T3631A,2026-07-16,35.15,TWD,安聯中華新思路基金-新臺幣,A0036,安聯投信,主動ETF-股
T3631B,2026-07-16,37.89,CNY,安聯中華新思路基金-人民幣,A0036,安聯投信,被動ETF/共同基金
T3631C,2026-07-16,35.81,USD,安聯中華新思路基金-美元,A0036,安聯投信,被動ETF/共同基金
T3615Y,2026-07-16,16.15,TWD,安聯全球綠能趨勢基金-A類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3615B,2026-07-16,15.5,USD,安聯全球綠能趨勢基金-A類型-美元,A0036,安聯投信,被動ETF/共同基金
T3617Y,2026-07-16,21.61,TWD,安聯全球股票多元投資風格基金-A類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3617B,2026-07-16,14.58,TWD,安聯全球股票多元投資風格基金-R類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3618Y,2026-07-16,7.69,TWD,安聯全球農金趨勢基金,A0036,安聯投信,被動ETF/共同基金
T3619Y,2026-07-16,404.12,TWD,安聯台灣智慧基金,A0036,安聯投信,被動ETF/共同基金
T3635A,2026-07-16,15.69,TWD,安聯收益成長多重資產基金-A類型(累積)-新臺幣(本基金有相當比重投資於非投資等,A0036,安聯投信,主動ETF-股
T3635B,2026-07-16,8.51,TWD,安聯收益成長多重資產基金-B類型(月配息)-新臺幣(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
T3635C,2026-07-16,17.55,CNY,安聯收益成長多重資產基金-A類型(累積)-人民幣(本基金有相當比重投資於非投資等,A0036,安聯投信,被動ETF/共同基金
T3635D,2026-07-16,8.1,CNY,安聯收益成長多重資產基金-B類型(月配息)-人民幣(本基金有相當比重投資於非投資,A0036,安聯投信,主動ETF-債
T3635E,2026-07-16,10.13,TWD,安聯收益成長多重資產基金- N類型(月配息)-新臺幣(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3635F,2026-07-16,9.5,CNY,安聯收益成長多重資產基金- N類型(月配息)-人民幣(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3635G,2026-07-16,8.9,USD,安聯收益成長多重資產基金-N類型(月配息)-美元(本基金有相當比重投資於非投資等,A0036,安聯投信,被動ETF/共同基金
T3635H,2026-07-16,16.06,USD,安聯收益成長多重資產基金-A類型(累積)-美元(本基金有相當比重投資於非投資等級,A0036,安聯投信,被動ETF/共同基金
T3635J,2026-07-16,8.86,USD,安聯收益成長多重資產基金-B類型(月配息)-美元(本基金有相當比重投資於非投資等,A0036,安聯投信,被動ETF/共同基金
T3635K,2026-07-16,11.65,TWD,安聯收益成長多重資產基金- C類型(累積)-新臺幣(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
T3635L,2026-07-16,13.17,USD,安聯收益成長多重資產基金- C類型(累積)-美元(本基金有相當比重投資於非投資等,A0036,安聯投信,被動ETF/共同基金
T3636A,2026-07-16,10.4915,TWD,安聯美國短年期非投資等級債券基金-A類型(累積)-新臺幣,A0036,安聯投信,主動ETF-股
T3636B,2026-07-16,7.2257,TWD,安聯美國短年期非投資等級債券基金-B類型(月配息)-新臺幣(本基金之配息來源可能,A0036,安聯投信,被動ETF/共同基金
T3636C,2026-07-16,7.2256,TWD,安聯美國短年期非投資等級債券基金- N類型(月配息)-新臺幣(本基金之配息來源可,A0036,安聯投信,被動ETF/共同基金
T3636D,2026-07-16,6.9609,CNY,安聯美國短年期非投資等級債券基金- B類型(月配息)-人民幣(本基金之配息來源可,A0036,安聯投信,主動ETF-債
T3636E,2026-07-16,6.9682,CNY,安聯美國短年期非投資等級債券基金- N類型(月配息)-人民幣(本基金之配息來源可,A0036,安聯投信,被動ETF/共同基金
T3636F,2026-07-16,7.2004,USD,安聯美國短年期非投資等級債券基金- B類型(月配息)-美元(本基金之配息來源可能,A0036,安聯投信,被動ETF/共同基金
T3636G,2026-07-16,7.2019,USD,安聯美國短年期非投資等級債券基金- N類型(月配息)-美元(本基金之配息來源可能,A0036,安聯投信,被動ETF/共同基金
T3636H,2026-07-16,12.0716,USD,安聯美國短年期非投資等級債券基金- A類型(累積)-美元,A0036,安聯投信,被動ETF/共同基金
T3636J,2026-07-16,11.5166,CNY,安聯美國短年期非投資等級債券基金- A類型(累積)-人民幣,A0036,安聯投信,被動ETF/共同基金
T3636K,2026-07-16,11.4572,TWD,安聯美國短年期非投資等級債券基金-I類型(累積)-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3637A,2026-07-16,11.88,TWD,安聯特別收益多重資產基金- A類型(累積)-新臺幣(本基金有相當比重投資於非投資,A0036,安聯投信,主動ETF-股
T3637B,2026-07-16,8.99,TWD,安聯特別收益多重資產基金- B類型(月配息)-新臺幣(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3637C,2026-07-16,8.99,TWD,安聯特別收益多重資產基金- N類型(月配息)-新臺幣(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3637D,2026-07-16,9.8,TWD,安聯特別收益多重資產基金- HA類型(累積)-新臺幣(避險)(本基金有相當比重投,A0036,安聯投信,主動ETF-債
T3637E,2026-07-16,7.67,TWD,安聯特別收益多重資產基金- HB類型(月配息)-新臺幣(避險)(本基金有相當比重,A0036,安聯投信,被動ETF/共同基金
T3637F,2026-07-16,7.67,TWD,安聯特別收益多重資產基金- HN類型(月配息)-新臺幣(避險)(本基金有相當比重,A0036,安聯投信,被動ETF/共同基金
T3637G,2026-07-16,10.62,CNY,安聯特別收益多重資產基金- HA類型(累積)-人民幣(避險)(本基金有相當比重投,A0036,安聯投信,被動ETF/共同基金
T3637H,2026-07-16,7.52,CNY,安聯特別收益多重資產基金- HB類型(月配息)-人民幣(避險)(本基金有相當比重,A0036,安聯投信,被動ETF/共同基金
T3637J,2026-07-16,7.51,CNY,安聯特別收益多重資產基金- HN類型(月配息)-人民幣(避險)(本基金有相當比重,A0036,安聯投信,被動ETF/共同基金
T3637K,2026-07-16,11.05,USD,安聯特別收益多重資產基金- A類型(累積)-美元(本基金有相當比重投資於非投資等,A0036,安聯投信,被動ETF/共同基金
T3637L,2026-07-16,7.65,USD,安聯特別收益多重資產基金- B類型(月配息)-美元(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
T3637M,2026-07-16,7.64,USD,安聯特別收益多重資產基金- N類型(月配息)-美元(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
T3638A,2026-07-16,12.2672,TWD,安聯新興債券收益組合基金- A類型(累積)-新臺幣(本基金有一定比例之投資包含高,A0036,安聯投信,主動ETF-股
T3638B,2026-07-16,8.6781,TWD,安聯新興債券收益組合基金- B類型(月配息)-新臺幣(本基金有一定比例之投資包含,A0036,安聯投信,被動ETF/共同基金
T3638C,2026-07-16,8.6779,TWD,安聯新興債券收益組合基金- N類型(月配息)-新臺幣(本基金有一定比例之投資包含,A0036,安聯投信,被動ETF/共同基金
T3638D,2026-07-16,9.7954,TWD,安聯新興債券收益組合基金- HA類型(累積)-新臺幣(避險)(本基金有一定比例之,A0036,安聯投信,主動ETF-債
T3638E,2026-07-16,7.1401,TWD,安聯新興債券收益組合基金- HB類型(月配息)-新臺幣(避險)(本基金有一定比例,A0036,安聯投信,被動ETF/共同基金
T3638F,2026-07-16,7.138,TWD,安聯新興債券收益組合基金- HN類型(月配息)-新臺幣(避險)(本基金有一定比例,A0036,安聯投信,被動ETF/共同基金
T3638G,2026-07-16,10.6782,CNY,安聯新興債券收益組合基金- HA類型(累積)-人民幣(避險)(本基金有一定比例之,A0036,安聯投信,被動ETF/共同基金
T3638H,2026-07-16,7.1298,CNY,安聯新興債券收益組合基金- HB類型(月配息)-人民幣(避險)(本基金有一定比例,A0036,安聯投信,被動ETF/共同基金
T3638J,2026-07-16,7.1272,CNY,安聯新興債券收益組合基金- HN類型(月配息)-人民幣(避險)(本基金有一定比例,A0036,安聯投信,被動ETF/共同基金
T3638K,2026-07-16,11.4166,USD,安聯新興債券收益組合基金- A類型(累積)-美元(本基金有一定比例之投資包含高風,A0036,安聯投信,被動ETF/共同基金
T3638L,2026-07-16,8.0785,USD,安聯新興債券收益組合基金- B類型(月配息)-美元(本基金有一定比例之投資包含高,A0036,安聯投信,被動ETF/共同基金
T3638M,2026-07-16,8.0785,USD,安聯新興債券收益組合基金- N類型(月配息)-美元(本基金有一定比例之投資包含高,A0036,安聯投信,被動ETF/共同基金
T3610Y,2026-07-16,31.98,TWD,安聯全球新興市場基金,A0036,安聯投信,被動ETF/共同基金
00984A,2026-07-17,14.74,TWD,安聯台灣高息成長主動式ETF基金(本基金之配息來源可能為收益平準金且基金並無保證,A0036,安聯投信,主動ETF-股
00993A,2026-07-17,11.94,TWD,安聯台灣主動式ETF基金(本基金之配息來源可能為收益平準金且基金並無保證收益及配,A0036,安聯投信,主動ETF-股
00402A,2026-07-17,9.45,TWD,安聯美國科技領航主動式ETF基金(本基金之配息來源可能為收益平準金),A0036,安聯投信,主動ETF-股
T3601Y,2026-07-17,279.5,TWD,安聯台灣大壩基金-A類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3601B,2026-07-17,88.13,TWD,安聯台灣大壩基金-G類型-新臺幣,A0036,安聯投信,被動ETF/共同基金
T3602Y,2026-07-17,13.3717,TWD,安聯台灣貨幣市場基金,A0036,安聯投信,被動ETF/共同基金
T3604Y,2026-07-17,687.61,TWD,安聯台灣科技基金,A0036,安聯投信,被動ETF/共同基金
T3619Y,2026-07-17,368.78,TWD,安聯台灣智慧基金,A0036,安聯投信,被動ETF/共同基金
T32X1A,2026-07-13,15.6168,TWD,野村全球科技多重資產基金-累積類型新臺幣(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,主動ETF-股
T32X1B,2026-07-13,13.6186,TWD,野村全球科技多重資產基金-月配類型新臺幣(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32X1C,2026-07-13,15.62,TWD,野村全球科技多重資產基金-累積N類型新臺幣(本基金有相當比重投資於非投資等級之高,A0032,野村投信,被動ETF/共同基金
T32X1D,2026-07-13,13.6179,TWD,野村全球科技多重資產基金-月配N類型新臺幣(本基金有相當比重投資於非投資等級之高,A0032,野村投信,主動ETF-債
T32X1S,2026-07-13,12.4641,TWD,野村全球科技多重資產基金-S類型新臺幣(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32X1E,2026-07-13,15.8559,USD,野村全球科技多重資產基金-累積類型美元(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32X1F,2026-07-13,13.8606,USD,野村全球科技多重資產基金-月配類型美元(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32X1G,2026-07-13,15.8538,USD,野村全球科技多重資產基金-累積N類型美元(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32X1H,2026-07-13,13.8472,USD,野村全球科技多重資產基金-月配N類型美元(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32X1J,2026-07-13,12.8825,CNY,野村全球科技多重資產基金-月配類型人民幣(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32X1K,2026-07-13,12.8834,CNY,野村全球科技多重資產基金-月配N類型人民幣(本基金有相當比重投資於非投資等級之高,A0032,野村投信,被動ETF/共同基金
T32X1L,2026-07-13,13.3848,JPY,野村全球科技多重資產基金-月配類型日幣(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32X1M,2026-07-13,13.3838,JPY,野村全球科技多重資產基金-月配N類型日幣(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32X1N,2026-07-13,15.3273,USD,野村全球科技多重資產基金-S類型美元(本基金有相當比重投資於非投資等級之高風險債,A0032,野村投信,被動ETF/共同基金
T32X1P,2026-07-13,13.3097,JPY,野村全球科技多重資產基金-累積類型日幣計價(本基金有相當比重投資於非投資等級之高,A0032,野村投信,被動ETF/共同基金
T32X1Q,2026-07-13,13.3183,JPY,野村全球科技多重資產基金-累積N類型日幣計價(本基金有相當比重投資於非投資等級之,A0032,野村投信,被動ETF/共同基金
00960,2026-07-13,17.78,TWD,野村全球航運龍頭息收ETF基金(本基金之配息來源可能為收益平準金且並無保證收益及,A0032,野村投信,被動ETF/共同基金
T32Y6A,2026-07-13,11.8867,TWD,野村全天候組合基金-累積類型新臺幣計價(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,主動ETF-股
T32Y6B,2026-07-13,10.6086,TWD,野村全天候組合基金-月配類型新臺幣計價(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32Y6C,2026-07-13,11.8752,TWD,野村全天候組合基金-累積N類型新臺幣計價(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32Y6D,2026-07-13,10.6075,TWD,野村全天候組合基金-月配N類型新臺幣計價(本基金有相當比重投資於非投資等級之高風,A0032,野村投信,主動ETF-債
T32Y6S,2026-07-13,10.937,TWD,野村全天候組合基金-S類型新臺幣計價(本基金有相當比重投資於非投資等級之高風險債,A0032,野村投信,被動ETF/共同基金
T32Y6E,2026-07-13,12.1471,USD,野村全天候組合基金-累積類型美元計價(本基金有相當比重投資於非投資等級之高風險債,A0032,野村投信,被動ETF/共同基金
T32Y6F,2026-07-13,10.8767,USD,野村全天候組合基金-月配類型美元計價(本基金有相當比重投資於非投資等級之高風險債,A0032,野村投信,被動ETF/共同基金
T32Y6G,2026-07-13,12.1218,USD,野村全天候組合基金-累積N類型美元計價(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32Y6H,2026-07-13,10.8699,USD,野村全天候組合基金-月配N類型美元計價(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32Y6J,2026-07-13,10.5405,ZAR,野村全天候組合基金-月配類型南非幣計價(本基金有相當比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
00971,2026-07-13,17.19,TWD,野村美日ETF傘型基金之美國創新研發龍頭ETF基金,A0032,野村投信,被動ETF/共同基金
00972,2026-07-13,20.01,TWD,野村美日ETF傘型基金之日本價值動能高息ETF基金(本基金之配息來源可能為收益平,A0032,野村投信,被動ETF/共同基金
T32Z9A,2026-07-13,10.069,TWD,野村全天候環球債券基金-累積類型新臺幣計價(本基金有一定比重投資於非投資等級之高,A0032,野村投信,主動ETF-股
T32Z9B,2026-07-13,9.3361,TWD,野村全天候環球債券基金-月配類型新臺幣計價(本基金有一定比重投資於非投資等級之高,A0032,野村投信,被動ETF/共同基金
T32Z9C,2026-07-13,10.0738,TWD,野村全天候環球債券基金-累積N類型新臺幣計價(本基金有一定比重投資於非投資等級之,A0032,野村投信,被動ETF/共同基金
T32Z9D,2026-07-13,9.3398,TWD,野村全天候環球債券基金-月配N類型新臺幣計價(本基金有一定比重投資於非投資等級之,A0032,野村投信,主動ETF-債
T32Z9L,2026-07-13,10,TWD,野村全天候環球債券基金-S類型新臺幣計價(本基金有一定比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32Z9E,2026-07-13,10.4418,USD,野村全天候環球債券基金-累積類型美元計價(本基金有一定比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32Z9F,2026-07-13,9.6709,USD,野村全天候環球債券基金-月配類型美元計價(本基金有一定比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32Z9G,2026-07-13,10.436,USD,野村全天候環球債券基金-累積N類型美元計價(本基金有一定比重投資於非投資等級之高,A0032,野村投信,被動ETF/共同基金
T32Z9H,2026-07-13,9.6694,USD,野村全天候環球債券基金-月配N類型美元計價(本基金有一定比重投資於非投資等級之高,A0032,野村投信,被動ETF/共同基金
T32Z9M,2026-07-13,10,USD,野村全天候環球債券基金-S類型美元計價(本基金有一定比重投資於非投資等級之高風險,A0032,野村投信,被動ETF/共同基金
T32Z9J,2026-07-13,9.4689,JPY,野村全天候環球債券基金-月配類型日幣計價(本基金有一定比重投資於非投資等級之高風,A0032,野村投信,被動ETF/共同基金
T32Z9K,2026-07-13,9.4622,JPY,野村全天候環球債券基金-月配N類型日幣計價(本基金有一定比重投資於非投資等級之高,A0032,野村投信,被動ETF/共同基金
00980A,2026-07-13,23.39,TWD,野村臺灣智慧優選主動式ETF基金(本基金之配息來源可能為收益平準金),A0032,野村投信,主動ETF-股
00985A,2026-07-13,21.66,TWD,野村臺灣增強50主動式ETF基金,A0032,野村投信,主動ETF-股
009812,2026-07-13,12.49,TWD,野村日本東證ETF基金,A0032,野村投信,被動ETF/共同基金
00987B,2026-07-13,16.0424,TWD,野村澳洲10年期以上主權及類主權債券ETF基金(本基金之配息來源可能為收益平準金,A0032,野村投信,被動ETF/共同基金
T32AWA,2026-07-13,11.21,TWD,野村成長傘型基金之美國增長股票ETF組合基金-累積類型新臺幣計價,A0032,野村投信,主動ETF-股
T32AWB,2026-07-13,10.96,TWD,野村成長傘型基金之美國增長股票ETF組合基金-月配息型新臺幣計價(本基金配息來源,A0032,野村投信,被動ETF/共同基金
T32AWC,2026-07-13,10.95,TWD,野村成長傘型基金之美國增長股票ETF組合基金-月配N類型新臺幣計價(本基金配息來,A0032,野村投信,被動ETF/共同基金
T32AWD,2026-07-13,11.02,USD,野村成長傘型基金之美國增長股票ETF組合基金-累積類型美元計價,A0032,野村投信,主動ETF-債
T32AWE,2026-07-13,10.77,USD,野村成長傘型基金之美國增長股票ETF組合基金-月配息型美元計價(本基金配息來源可,A0032,野村投信,被動ETF/共同基金
T32AWF,2026-07-13,10.77,USD,野村成長傘型基金之美國增長股票ETF組合基金-月配N類型美元計價(本基金配息來源,A0032,野村投信,被動ETF/共同基金
T32AUA,2026-07-13,16.49,TWD,野村成長傘型基金之臺灣創新科技50ETF連結基金-累積類型,A0032,野村投信,主動ETF-股
T32AUB,2026-07-13,15.95,TWD,野村成長傘型基金之臺灣創新科技50ETF連結基金-半年配息型,A0032,野村投信,被動ETF/共同基金
00999A,2026-07-13,10.6,TWD,野村臺灣策略高息主動式ETF基金(本基金之配息來源可能為收益平準金且並無保證收益,A0032,野村投信,主動ETF-股
009821,2026-07-13,13.19,TWD,野村全球稀土與關鍵資源ETF基金,A0032,野村投信,被動ETF/共同基金
T3219Y,2026-07-13,264.93,TWD,野村鴻運基金,A0032,野村投信,被動ETF/共同基金
T3221Y,2026-07-13,148.97,TWD,野村鴻利基金,A0032,野村投信,被動ETF/共同基金
