代碼,日期,淨值,幣別,名稱,來源,資產類型,投資區域
B23181,2024-05-13,15.696707725524902,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-14,15.6928071975708,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-15,15.686686515808105,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-16,15.727815628051758,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-17,15.718671798706055,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-20,15.722644805908203,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-21,15.725193977355957,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-22,15.717477798461914,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-23,15.715490341186523,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-24,15.668705940246582,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-28,15.690265655517578,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-30,15.497314453125,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-05-31,15.503679275512695,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-03,15.542672157287598,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-04,15.589057922363281,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-05,15.622160911560059,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-06,15.655016899108887,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-07,15.653029441833496,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-10,15.640613555908203,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-11,15.630110740661621,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-12,15.642129898071289,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-13,15.704428672790527,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-14,15.673157691955566,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-17,15.639656066894531,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-18,15.645549774169922,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-20,15.677055358886719,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-21,15.658355712890625,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-24,15.662099838256836,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-25,15.675063133239746,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-26,15.680319786071777,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-27,15.656912803649902,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-06-28,15.657873153686523,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-01,15.665246963500977,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-02,15.638795852661133,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-03,15.649295806884766,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-05,15.671662330627441,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-08,15.720725059509277,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-09,15.731546401977539,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-10,15.73515510559082,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-11,15.768985748291016,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-12,15.810995101928711,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-15,15.841540336608887,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-16,15.85003662109375,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-17,15.865750312805176,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-18,15.88803482055664,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-19,15.882747650146484,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-22,15.886272430419922,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-23,15.891798973083496,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-24,15.904309272766113,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-25,15.89493179321289,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-26,15.913590431213379,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-29,15.938794136047363,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-30,15.929667472839355,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-07-31,15.930798530578613,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-08-01,15.958991050720215,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-08-02,15.940889358520508,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
B23181,2024-08-05,15.828055381774902,美元,施羅德環球基金系列－環球非投資等級債券(美元)A1-月配固定,yfinance,債券型,全球市場
