代碼,日期,淨值,幣別,名稱,來源,資產類型,投資區域,發行,系列
B20078,2022-12-27,9.739562034606934,美元,安聯亞洲總回報股票基金-AM穩定月收類股(美元),yfinance,股票型,亞洲地區,A0036 安聯投信,安聯AGIF
B20078,2022-12-28,9.77567195892334,美元,安聯亞洲總回報股票基金-AM穩定月收類股(美元),yfinance,股票型,亞洲地區,A0036 安聯投信,安聯AGIF
B20078,2022-12-29,9.739562034606934,美元,安聯亞洲總回報股票基金-AM穩定月收類股(美元),yfinance,股票型,亞洲地區,A0036 安聯投信,安聯AGIF
B20078,2022-12-30,9.766641616821289,美元,安聯亞洲總回報股票基金-AM穩定月收類股(美元),yfinance,股票型,亞洲地區,A0036 安聯投信,安聯AGIF
B71054,2022-01-04,23.799999237060547,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-05,23.440000534057617,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-06,23.459999084472656,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-07,23.389999389648438,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-10,23.270000457763672,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-11,23.489999771118164,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-12,23.530000686645508,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-13,23.3700008392334,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-14,23.229999542236328,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-18,22.780000686645508,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-19,22.600000381469727,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-20,22.350000381469727,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-21,21.950000762939453,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-24,22.09000015258789,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-25,21.84000015258789,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-26,21.75,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-27,21.690000534057617,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-28,22.1299991607666,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-01-31,22.450000762939453,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-01,22.579999923706055,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-02,22.690000534057617,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-03,22.350000381469727,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-04,22.43000030517578,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-07,22.360000610351562,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-08,22.6200008392334,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-09,22.90999984741211,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-10,22.59000015258789,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-11,22.200000762939453,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-14,22.100000381469727,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-15,22.440000534057617,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-16,22.540000915527344,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-17,22.15999984741211,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-18,22.040000915527344,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-22,21.809999465942383,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-23,21.389999389648438,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-24,21.600000381469727,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-25,22.149999618530273,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-02-28,22.059999465942383,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-01,21.639999389648438,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-02,22.100000381469727,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-03,21.969999313354492,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-04,21.799999237060547,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-07,21.020000457763672,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-08,20.809999465942383,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-09,21.420000076293945,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-10,21.34000015258789,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-11,21.18000030517578,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-14,21.09000015258789,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-15,21.469999313354492,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-16,21.920000076293945,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-17,22.149999618530273,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-18,22.329999923706055,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-21,22.260000228881836,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-22,22.440000534057617,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-23,22.1200008392334,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-24,22.31999969482422,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-25,22.420000076293945,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-28,22.579999923706055,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-29,22.829999923706055,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-30,22.649999618530273,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-03-31,22.280000686645508,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-01,22.309999465942383,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-04,22.43000030517578,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-05,22.200000762939453,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-06,21.969999313354492,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-07,22.020000457763672,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-08,22.020000457763672,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-11,21.780000686645508,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-12,21.68000030517578,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-13,21.90999984741211,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-14,21.729999542236328,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-19,21.950000762939453,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-20,22.030000686645508,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-21,21.770000457763672,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-22,20.969999313354492,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
B71054,2022-04-25,21.100000381469727,美元,路博邁投資基金 - NB美國多元企業機會基金T累積類股(美元),yfinance,股票型,美國,A0050 路博邁投信,路博邁
