代碼,日期,淨值,幣別,名稱,來源,資產類型,投資區域
B3SLBR8,2023-08-28,46.23299789428711,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-08-29,47.38484573364258,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-08-30,47.29548263549805,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-08-31,47.22597122192383,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-01,47.2756233215332,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-05,47.80189514160156,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-06,47.494075775146484,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-07,46.84864044189453,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-08,46.34221649169922,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-11,46.789058685302734,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-12,46.62025451660156,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-13,46.44152069091797,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-14,46.51102828979492,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-15,46.798988342285156,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-18,46.32236099243164,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-19,46.28264236450195,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-20,45.76629638671875,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-21,45.02156448364258,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-22,46.074119567871094,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-25,45.59748840332031,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-26,45.031490325927734,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-27,45.32938766479492,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-28,44.83290100097656,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-09-29,45.70671463012695,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-02,45.716644287109375,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-03,44.81303787231445,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-04,44.296688079833984,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-06,44.91233444213867,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-09,45.27973556518555,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-10,45.607421875,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-11,46.23299789428711,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-12,46.997589111328125,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-13,45.776222229003906,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-16,45.269805908203125,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-17,45.428680419921875,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-18,45.08114242553711,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-19,43.98886489868164,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-20,43.62146759033203,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-23,42.886661529541016,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-24,43.23420333862305,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
B3SLBR8,2023-10-25,43.770416259765625,美元,景順中國新世代基金A-年配息股 美元,yfinance,股票型,中國/大中華
