代碼,日期,淨值,幣別,名稱,來源,資產類型,投資區域,發行,系列
B20056,2019-01-02,79.8837890625,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-03,79.71428680419922,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-04,80.2227554321289,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-07,80.73123931884766,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-08,81.39134979248047,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-09,82.25665283203125,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-10,81.4894790649414,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-11,82.05148315429688,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-14,81.17726135253906,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-15,81.33782958984375,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-16,81.63221740722656,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-17,81.5251693725586,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-18,82.71160888671875,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-21,83.11302185058594,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-22,83.16655731201172,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-23,82.81865692138672,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-24,82.60456085205078,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-25,83.13086700439453,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2019-01-28,82.85433197021484,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
