代碼,日期,淨值,幣別,名稱,來源,資產類型,投資區域
B20018,2020-01-02,44.37393569946289,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-03,44.71792221069336,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-06,44.663604736328125,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-07,44.609291076660156,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-08,44.72697067260742,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-09,44.68171310424805,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-10,44.708866119384766,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-13,44.68171310424805,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-14,44.5911865234375,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-15,44.68171310424805,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-16,44.6545524597168,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-17,44.71792221069336,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-20,44.79938888549805,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-21,44.8174934387207,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-22,44.898963928222656,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-23,45.02569580078125,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-24,45.22483825683594,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-27,45.49641036987305,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-28,45.59598922729492,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-29,45.577877044677734,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-30,45.60504150390625,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-01-31,45.577877044677734,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-03,45.5145149230957,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-04,45.49641036987305,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-05,45.460208892822266,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-06,45.451148986816406,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-07,45.650299072265625,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-10,45.749874114990234,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-11,45.88565444946289,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-12,45.83134460449219,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-13,45.97617721557617,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-14,46.09385299682617,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-17,46.13006591796875,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-18,46.21154022216797,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-19,46.27490234375,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-20,46.14816665649414,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-21,46.21154022216797,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-24,46.293006896972656,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-25,46.32921600341797,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-26,46.21154022216797,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-27,46.02143478393555,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-02-28,45.81324005126953,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-02,45.896690368652344,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-03,45.64120101928711,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-04,45.87843704223633,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-05,45.80544662475586,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-06,45.714202880859375,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-09,45.814571380615234,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-10,45.732444763183594,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-11,45.422210693359375,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-12,45.44045639038086,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-13,44.947731018066406,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-16,44.52799987792969,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-17,44.63749694824219,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-18,44.12651824951172,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-19,43.962284088134766,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-20,44.13564682006836,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-23,44.48237991333008,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-24,44.19951629638672,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-25,44.23601531982422,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-26,44.18126678466797,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-27,44.44587707519531,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-30,44.5462532043457,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-03-31,44.73786544799805,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-01,44.947731018066406,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-02,45.066349029541016,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-03,45.403961181640625,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-06,45.340087890625,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-07,45.11198043823242,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-08,45.166725158691406,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-09,45.212345123291016,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-14,45.44045639038086,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-15,45.45871353149414,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-16,45.67770767211914,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-17,45.90581512451172,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-20,45.714202880859375,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-21,45.80544662475586,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-22,45.705078125,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-23,45.90581512451172,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-24,46.115684509277344,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
B20018,2020-04-27,45.9605598449707,歐元,安聯國際債券基金-A配息類股(歐元),yfinance,債券型,全球市場
